{'id': 1, 'state': True, 'heartbeat': 82, 'oximeter': 82, 'breath': 20, 'temperature': 0.0, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 96, 'oximeter': 80, 'breath': 13, 'temperature': 31.839014, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 91, 'oximeter': 81, 'breath': 17, 'temperature': 31.826471, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 92, 'oximeter': 84, 'breath': 17, 'temperature': 31.726068, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 61, 'oximeter': 85, 'breath': 24, 'temperature': 31.751184, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 80, 'oximeter': 91, 'breath': 24, 'temperature': 31.876642, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 76, 'oximeter': 96, 'breath': 15, 'temperature': 31.826471, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 68, 'oximeter': 83, 'breath': 11, 'temperature': 31.813929, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 66, 'oximeter': 86, 'breath': 12, 'temperature': 31.713495, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 70, 'oximeter': 80, 'breath': 18, 'temperature': 31.876642, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 86, 'oximeter': 84, 'breath': 22, 'temperature': 31.763727, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 70, 'oximeter': 79, 'breath': 22, 'temperature': 31.876642, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 74, 'oximeter': 82, 'breath': 22, 'temperature': 31.91424, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 86, 'oximeter': 82, 'breath': 24, 'temperature': 31.889154, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 70, 'oximeter': 86, 'breath': 24, 'temperature': 31.851557, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 67, 'oximeter': 84, 'breath': 24, 'temperature': 31.788813, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': False, 'heartbeat': 84, 'oximeter': 87, 'breath': 24, 'temperature': 31.901697, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 74, 'oximeter': 82, 'breath': 14, 'temperature': 31.713495, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 79, 'oximeter': 90, 'breath': 19, 'temperature': 31.876642, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 93, 'oximeter': 91, 'breath': 19, 'temperature': 31.976892, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 91, 'oximeter': 84, 'breath': 16, 'temperature': 31.876642, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 67, 'oximeter': 79, 'breath': 20, 'temperature': 32.014458, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 84, 'oximeter': 87, 'breath': 13, 'temperature': 32.052025, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 71, 'oximeter': 85, 'breath': 13, 'temperature': 32.08956, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 99, 'oximeter': 92, 'breath': 20, 'temperature': 31.96435, 'beginindex': 198, 'endindex': 248}
{'id': 1, 'state': True, 'heartbeat': 62, 'oximeter': 88, 'breath': 12, 'temperature': 32.07705, 'beginindex': 198, 'endindex': 248}
